assemblyID,Species,clade,subfamily,tribe
Bromus_tectorum,Bromus tectorum,BOP,Pooideae,Bromeae
AN21TNTL0114,Capillipedium kwashotense,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0223,Capillipedium spicigerum,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0244,Capillipedium spicigerum,PACMAD,Panicoideae,Andropogoneae
pearl_millet_23DB_ONT_assembly,Cenchrus americanus,PACMAD,Panicoideae,Paniceae
ASM2073956v1,Cenchrus americanus,PACMAD,Panicoideae,Paniceae
ASM2073958v1,Cenchrus americanus,PACMAD,Panicoideae,Paniceae
ASM2073952v1,Cenchrus americanus,PACMAD,Panicoideae,Paniceae
ASM2073957v1,Cenchrus americanus,PACMAD,Panicoideae,Paniceae
ASM3693692v1,Cenchrus fungigraminus,PACMAD,Panicoideae,Paniceae
ASM2264469v1,Cenchrus purpureus,PACMAD,Panicoideae,Paniceae
C_purpureuscv._Purple,Cenchrus purpureus,PACMAD,Panicoideae,Paniceae
SRR7121923,Cenchrus qianningensis,PACMAD,Panicoideae,Paniceae
Chimonobambusa_convoluta,Chimonobambusa convoluta,BOP,Bambusoideae,Arundinarieae
SRR7121595,Chloris barbata,PACMAD,Chloridoideae,Cynodonteae
ASM3189477v1,Chloris gayana,PACMAD,Chloridoideae,Cynodonteae
AN21TS06,Chrysopogon aciculatus,PACMAD,Panicoideae,Andropogoneae
MCRTL042,Chrysopogon aciculatus,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0117,Chrysopogon aucheri,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0118,Chrysopogon fallax,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0245,Chrysopogon filipes,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0253,Chrysopogon fulvibarbis,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0119,Chrysopogon fulvus,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0120,Chrysopogon gryllus,PACMAD,Panicoideae,Andropogoneae
AN20T177,Chrysopogon humbertianus,PACMAD,Panicoideae,Andropogoneae
ChrysopogonNigritanus_v1.0,Chrysopogon nigritanus,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0227,Chrysopogon orientalis,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0226,Chrysopogon pauciflorus,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0180,Chrysopogon plumulosus,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0144,Chrysopogon schmidianus,PACMAD,Panicoideae,Andropogoneae
Cs-KelloggPI219580-DRAFT-PanAnd-1.0,Chrysopogon serrulatus,PACMAD,Panicoideae,Andropogoneae
Cs-A1013-Draft-PanAnd-1.0,Chrysopogon serrulatus,PACMAD,Panicoideae,Andropogoneae
A1014002,Chrysopogon zizanioides,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0115,Clausospicula extensa,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0116,Cleistachne sorghoides,PACMAD,Panicoideae,Andropogoneae
SRR8208363,Cleistogenes squarrosa,PACMAD,Chloridoideae,Cynodonteae
A1015002,Coelorachis tuberculosa,PACMAD,Panicoideae,Andropogoneae
ASM972507v1,Coix aquatica,PACMAD,Panicoideae,Andropogoneae
AN21TS25,Coix lacryma-jobi,PACMAD,Panicoideae,Andropogoneae
ASM976338v1,Coix lacryma-jobi,PACMAD,Panicoideae,Andropogoneae
Adlay_draft_genome_1.0,Coix lacryma-jobi,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0194,Cymbopogon ambiguus,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0102,Cymbopogon bhutanicus,PACMAD,Panicoideae,Andropogoneae
AN20T175,Cymbopogon caesius,PACMAD,Panicoideae,Andropogoneae
Cc-PI314907-DRAFT-PanAnd-1.0,Cymbopogon citratus,PACMAD,Panicoideae,Andropogoneae
Ccit.v1.0,Cymbopogon citratus,PACMAD,Panicoideae,Andropogoneae
AN20T176,Cymbopogon commutatus,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0094,Cymbopogon densiflorus,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0238,Cymbopogon dependens,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0104,Cymbopogon dieterlenii,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0272,Cymbopogon distans,PACMAD,Panicoideae,Andropogoneae
AN21TS14,Cymbopogon flexuosus,PACMAD,Panicoideae,Andropogoneae
ASM2779001v1,Cymbopogon flexuosus,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0192,Cymbopogon giganteus,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0236,Cymbopogon goeringii,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0273,Cymbopogon iwarancusa,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0237,Cymbopogon khasianus,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0195,Cymbopogon martini,PACMAD,Panicoideae,Andropogoneae
AN21TS34,Cymbopogon nardus,PACMAD,Panicoideae,Andropogoneae
AN20T011,Cymbopogon obtectus,PACMAD,Panicoideae,Andropogoneae
AN22TNTL037,Cymbopogon osmastonii,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0193,Cymbopogon pospischilii,PACMAD,Panicoideae,Andropogoneae
Cr-AUB069-DRAFT-PanAnd-1.0,Cymbopogon refractus,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0274,Cymbopogon schoenanthus,PACMAD,Panicoideae,Andropogoneae
AN21TS28,Cymbopogon winterianus,PACMAD,Panicoideae,Andropogoneae
Cynodon_dactylon,Cynodon dactylon,PACMAD,Chloridoideae,Cynodonteae
Cynodon_nlemfuensis,Cynodon nlemfuensis,PACMAD,Chloridoideae,Cynodonteae
ASM711570v1,Dactylis glomerata,BOP,Pooideae,Poeae
ASM289264v1,Dactylis glomerata,BOP,Pooideae,Poeae
mabamboo_1.0,Dendrocalamus latiflorus,BOP,Bambusoideae,Bambuseae
KIB_Dsin_1,Dendrocalamus sinicus,BOP,Bambusoideae,Bambuseae
SRR1158316,Deschampsia antarctica,BOP,Pooideae,Poeae
ASM163321v2,Dichanthelium oligosanthes,PACMAD,Panicoideae,Paniceae
A1020001,Dichanthium annulatum,PACMAD,Panicoideae,Andropogoneae
AN20T179,Dichanthium aristatum,PACMAD,Panicoideae,Andropogoneae
AN22TNTL128,Dichanthium caricosum,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0235,Dichanthium fecundum,PACMAD,Panicoideae,Andropogoneae
AT20TS1MCRTL004,Dichanthium foveolatum,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0196,Dichanthium sericeum,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0231,Dichanthium sericeum,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0169,Diectomis fastigiata,PACMAD,Panicoideae,Andropogoneae
AN21TS08,Diectomis fastigiata,PACMAD,Panicoideae,Andropogoneae
DiExil,Digitaria exilis,PACMAD,Panicoideae,Paniceae
CM05836_v1.1,Digitaria exilis,PACMAD,Panicoideae,Paniceae
Fonio_CM05836,Digitaria exilis,PACMAD,Panicoideae,Paniceae
AN21TS37,Digitaria iburua,PACMAD,Panicoideae,Paniceae
AN20T183,Diheteropogon amplectens,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0172,Diheteropogon amplectens,PACMAD,Panicoideae,Andropogoneae
AN21TS16,Diheteropogon amplectens,PACMAD,Panicoideae,Andropogoneae
AN20T184,Diheteropogon filifolius,PACMAD,Panicoideae,Andropogoneae
MCRTL028,Diheteropogon filifolius,PACMAD,Panicoideae,Andropogoneae
AN21TS23,Diheteropogon hagerupii,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0139,Dimeria aristata,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0100,Dimeria chloridiformis,PACMAD,Panicoideae,Andropogoneae
AN21TS51,Dimeria lawsonii,PACMAD,Panicoideae,Andropogoneae
AN22TNTL036,Dimeria mooneyi,PACMAD,Panicoideae,Andropogoneae
MCRTL040,Dimeria ornithopoda,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0101,Dimeria pubescens,PACMAD,Panicoideae,Andropogoneae
Dinebra_chinensis,Dinebra chinensis,PACMAD,Chloridoideae,Cynodonteae
ASM90020540v1,Echinochloa crus-galli,PACMAD,Panicoideae,Paniceae
ASM2511822v1,Echinochloa crus-galli,PACMAD,Panicoideae,Paniceae
ASM3323972v1,Echinochloa phyllopogon,PACMAD,Panicoideae,Paniceae
Eleusine_coracana_v1.0,Eleusine coracana,PACMAD,Chloridoideae,Cynodonteae
Ragi_PR202_v._2.0,Eleusine coracana,PACMAD,Chloridoideae,Cynodonteae
ASM218045v1,Eleusine coracana,PACMAD,Chloridoideae,Cynodonteae
ASM3037835v1,Eleusine indica,PACMAD,Chloridoideae,Cynodonteae
ASM3041176v1,Eleusine indica,PACMAD,Chloridoideae,Cynodonteae
ASM336985v1,Eleusine indica,PACMAD,Chloridoideae,Cynodonteae
ASM2270932v1,Eleusine indica,PACMAD,Chloridoideae,Cynodonteae
AN21TS22,Elionurus barbiculmis,PACMAD,Panicoideae,Andropogoneae
AN22TNTL130,Elionurus bilinguis,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0197,Elionurus ciliaris,PACMAD,Panicoideae,Andropogoneae
AN20TSCR000218,Elionurus citreus,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0124,Elionurus elegans,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0248,Elionurus euchaetus,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0123,Elionurus hirtifolius,PACMAD,Panicoideae,Andropogoneae
AN20T185,Elionurus muticus,PACMAD,Panicoideae,Andropogoneae
AN21TS59,Elionurus muticus,PACMAD,Panicoideae,Andropogoneae
MCRTL050,Elionurus royleanus,PACMAD,Panicoideae,Andropogoneae
A1021002,Elionurus tripsacoides,PACMAD,Panicoideae,Andropogoneae
Et-Layton_Zhong168-DRAFT-PanAnd-1.0,Elionurus tripsacoides,PACMAD,Panicoideae,Andropogoneae
MCRTL059,Elymandra archaelymandra,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0099,Elymandra lithophila,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0125,Elymandra lithophila,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0366,Elymandra subulata,PACMAD,Panicoideae,Andropogoneae
MCRTL043,Elymandra subulata,PACMAD,Panicoideae,Andropogoneae
CERZOS_EC1.0,Eragrostis curvula,PACMAD,Chloridoideae,Eragrostideae
MSU_Enin_2.1,Eragrostis nindensis,PACMAD,Chloridoideae,Eragrostideae
ASM97063v1,Eragrostis tef,PACMAD,Chloridoideae,Eragrostideae
Salk_teff_dabbi_3.0,Eragrostis tef,PACMAD,Chloridoideae,Eragrostideae
AN21TNTL0098,Eremochloa attenuata,PACMAD,Panicoideae,Andropogoneae
MCRTL019,Eremochloa ciliaris,PACMAD,Panicoideae,Andropogoneae
AN22TNTL025,Eremochloa ciliatifolia,PACMAD,Panicoideae,Andropogoneae
MCRTL022,Eremochloa eriopoda,PACMAD,Panicoideae,Andropogoneae
